TID,Items
1,"[169, 1873, 2220, 2589, 3142, 3350]"
2,"[1311, 1529, 2021, 2548, 2637, 2869, 3078]"
3,"[229, 2063]"
4,"[1286, 1396, 1831, 2080, 2151, 2324, 2375, 2410, 2509]"
5,"[23, 186, 1694, 2153, 3262, 3905]"
6,"[150, 2187, 2208, 3147]"
7,"[111, 146, 679, 1349, 1593, 1678, 3056]"
8,"[1233, 1512, 3465, 3572, 3832]"
9,"[348, 471, 1233, 3855, 3963]"
10,"[459, 722, 1713, 2548, 3250]"
11,"[1577, 1647, 1753, 2248, 2260, 3241]"
12,"[809, 893, 1638]"
13,"[205, 599, 3348, 3402]"
14,"[220, 387, 1476, 2277, 2761, 3871]"
15,"[272, 648, 1307, 1524, 1765, 2535]"
16,"[234, 1464, 1504, 3356]"
17,"[147, 3054, 3459]"
18,"[236, 1428, 2228, 2382]"
19,"[29, 214, 504, 3514, 3793]"
20,"[2058, 2527]"
21,"[924, 1697, 3468, 3810]"
22,"[432, 443, 613, 845, 1113, 1836]"
23,"[21, 123, 566, 771, 930, 2457]"
24,"[450, 1402]"
25,"[1700, 2412]"
26,"[543, 2984, 3927, 3931, 3934]"
27,"[707, 1474, 3192, 3371]"
28,"[732, 1991, 2947]"
29,"[152, 744, 901, 1183, 2387, 3106]"
30,"[448, 530, 803, 2416, 2428, 2926, 3368, 3653]"
31,"[459, 595, 732, 2347, 2699, 3268]"
32,"[87, 787, 3719]"
33,"[1474, 1610, 2289]"
34,"[491, 539, 3086]"
35,"[7, 446, 3193]"
36,"[858, 2744, 3185, 3666]"
37,"[1567, 2680]"
38,"[127, 1618, 2877]"
39,"[190, 667, 998, 1143, 1457, 1779, 2164, 2339]"
40,"[192, 1873, 3398, 3871]"
41,"[3079, 3821]"
42,"[1318, 1794, 1820, 2786, 2964, 3722, 3954]"
43,"[81, 368, 1072, 3180, 3906]"
44,"[1465, 1897, 3089]"
45,"[24, 1023, 2590, 2946, 3752]"
46,[2990]
47,"[3231, 3492, 3934]"
48,"[517, 2298, 3647]"
49,"[40, 604, 1638]"
50,"[63, 1170, 1881, 3094, 3538]"
51,"[1126, 2745, 3331]"
52,"[731, 1888, 2831]"
53,"[799, 1148, 1750, 2009, 2745, 3267, 3366]"
54,"[1738, 1817, 1952, 3024, 3175, 3319]"
55,"[629, 1145, 1341, 2305, 2337]"
56,"[2153, 3331]"
57,"[68, 2529, 3492]"
58,"[930, 1624, 2314, 2397]"
59,"[140, 1241, 1394, 1731, 2338, 2557, 3136]"
60,"[2000, 2476, 2527, 3411]"
61,"[163, 171, 423, 1014, 2107, 2247, 2600, 3286]"
62,"[559, 1382, 2115, 2139]"
63,"[142, 1632, 2242, 2626, 3404, 3701]"
64,"[221, 801, 1671]"
65,"[773, 1184, 2507]"
66,"[38, 217, 284, 300, 1018, 1392]"
67,"[589, 1224, 3488, 3921]"
68,"[1559, 1725]"
69,"[132, 1136, 2251]"
70,"[807, 1678, 2415]"
71,"[70, 915, 1073, 2001, 2315, 2858, 2886, 3192]"
72,"[36, 437, 443, 1021, 1734, 3306, 3516]"
73,"[148, 1210, 1276, 1311]"
74,[214]
75,"[558, 1017, 3788]"
76,"[923, 1816, 3134, 3277]"
77,"[2477, 3317, 3538, 3932]"
78,"[787, 2056, 2453, 3678]"
79,"[1128, 2383, 2858, 3196, 3572]"
80,"[510, 1017, 1092, 2648, 3752, 3833]"
81,"[241, 502, 774, 1735, 2060, 2444, 2964]"
82,"[1500, 2000, 2375, 3934]"
83,"[60, 845, 1092, 1613, 3056]"
84,"[418, 1885, 3801]"
85,"[651, 702, 2598, 3254, 3334]"
86,"[648, 1030, 1234, 2937]"
87,"[813, 1127, 1405, 1530]"
88,"[871, 1175, 2387]"
89,"[1382, 2057]"
90,"[540, 1211, 2592, 3456, 3927]"
91,"[1228, 1462, 2903, 2955, 3092]"
92,"[1341, 2103, 2104, 2248, 2408, 2552, 3953]"
93,"[303, 811, 1794, 2786, 2902, 3273, 3569, 3722]"
94,"[545, 1072, 2098, 2233, 2876, 3341, 3396, 3710, 3912]"
95,"[870, 1691, 2986]"
96,"[874, 993, 1284, 1285, 1837, 2861]"
97,"[132, 1804, 2079, 2561, 2563, 2726]"
98,"[1302, 3101, 3140]"
99,"[3305, 3326, 3669]"
100,"[62, 1521, 2669, 3299, 3453, 3916]"
101,"[1393, 2825, 2912]"
102,"[1322, 2039, 3668]"
103,"[785, 1026, 1286, 1371, 2608, 3160]"
104,"[1932, 2237, 3379]"
105,"[782, 787, 1427, 1539, 1666, 2747, 3096]"
106,"[1005, 1411, 1412, 3497, 3576]"
107,"[234, 368, 1464, 1504, 1822]"
108,"[1464, 1762, 1983, 2666]"
109,"[1269, 1305, 3623, 3711, 3788]"
110,"[300, 684, 963, 1617, 1986, 3079, 3541, 3821]"
111,"[544, 1191, 1235, 1423, 2171, 2541, 2547, 2625, 2951, 3730]"
112,"[188, 1893, 2159, 2708, 3201]"
113,"[785, 2034, 2517, 2584]"
114,"[2089, 3344, 3414, 3828]"
115,"[891, 1590, 2970]"
116,"[78, 246, 286, 397, 974, 1468, 2373, 3065, 3251, 3293]"
117,"[544, 933, 1924]"
118,"[69, 521, 874, 3053, 3120]"
119,"[1228, 1356, 1678, 2333]"
120,"[289, 679, 1502, 2527, 2744, 3952]"
121,"[2079, 2237, 2573, 3390, 3488, 3671]"
122,"[599, 1239, 1971, 2303, 2842, 3722, 3768]"
123,"[1458, 1630, 1725, 2747, 3101]"
124,"[26, 2548, 3154, 3871]"
125,"[326, 994]"
126,"[2275, 2861, 3764]"
127,"[1259, 1941, 2010]"
128,"[104, 456, 877, 2328, 3190, 3920]"
129,"[74, 93, 1037, 1554, 2519, 2989, 3230, 3457, 3655, 3810, 3912]"
130,"[336, 707, 2025, 2964]"
131,"[480, 1909, 3106]"
132,"[229, 2922]"
133,"[353, 1189, 1705, 3192]"
134,"[69, 514, 1912, 1957, 2223]"
135,"[1971, 2714, 3680]"
136,"[2608, 3160]"
137,"[494, 1663, 3925]"
138,"[125, 201, 420, 1859, 2695]"
139,"[1003, 1161, 1461, 2706]"
140,"[518, 3317]"
141,"[1462, 1531, 2833, 3551, 3711]"
142,"[1443, 1940, 3439]"
143,"[23, 218, 2947, 2997, 3010, 3114]"
144,"[545, 688, 1613, 1617, 2781, 3402]"
145,"[118, 488, 1001, 1386, 3149]"
146,"[3648, 3870]"
147,"[495, 580, 871, 1968, 3295, 3461, 3931]"
148,"[894, 962, 3056, 3938]"
149,"[1613, 3217, 3288, 3810]"
150,"[1152, 1853, 2214]"
151,"[531, 1512, 1831, 3226]"
152,"[201, 247, 326, 699, 930, 2481, 3106, 3982]"
153,"[547, 676, 898, 3145, 3186]"
154,"[395, 545, 1202, 1258, 1518]"
155,"[963, 2268, 2941, 3535, 3651]"
156,"[577, 1354, 2227, 2700, 3809]"
157,"[1259, 1941, 3350]"
158,"[346, 482, 1082, 1705]"
159,"[477, 1526, 3119, 3273]"
160,"[18, 654, 1373, 1537, 2424]"
161,"[625, 1590, 2461, 2851, 3881]"
162,"[181, 326, 582, 827, 962, 1025]"
163,"[595, 1371]"
164,"[821, 908, 971, 1080, 1094, 1443, 3192, 3379, 3743]"
165,"[1256, 2138, 3477, 3480, 3561, 3940]"
166,"[1971, 3680, 3722, 3850, 3988]"
167,"[1136, 1897]"
168,"[1423, 2079, 3010, 3787, 3991]"
169,"[1696, 3262, 3403, 3730]"
170,"[2234, 3349, 3676, 3830, 3998]"
171,"[480, 500, 855]"
172,"[69, 686, 1323, 1474, 1679, 2325, 3048, 3792, 3927]"
173,"[867, 1767, 3651]"
174,"[63, 147, 1275, 1502, 1624, 2725, 2953, 3235, 3907]"
175,"[559, 2947, 3079, 3129, 3142, 3655]"
176,"[902, 1528, 1569, 1834, 3768]"
177,"[724, 1284, 2726, 2731, 2979]"
178,"[907, 961, 1300, 3273]"
179,"[2819, 2991, 3914]"
180,"[176, 311, 773, 832, 2166, 3758]"
181,"[721, 1156, 2446, 3142, 3810, 3815]"
182,"[1504, 1772, 2564, 3642]"
183,"[825, 1986]"
184,"[246, 1755, 2705, 3444]"
185,"[1504, 1668, 3900]"
186,"[1367, 2454, 2561, 2816]"
187,"[238, 519, 592, 2063, 2596, 3079]"
188,"[1263, 1589, 2001, 3249, 3262, 3348]"
189,"[759, 863, 1317, 1411, 3794]"
190,"[493, 1458, 2095, 2116, 2915]"
191,[432]
192,"[908, 2063, 2223, 3932, 3949]"
193,"[1378, 1474, 1716, 2830]"
194,"[546, 1889, 2368, 2415, 2452, 2489, 2582]"
195,"[119, 400, 1628, 2343, 2413, 2507]"
196,"[110, 570, 913, 1289, 1518, 1746, 1756, 2090]"
197,"[1169, 2840, 3299, 3615, 3861]"
198,"[934, 3655]"
199,"[1105, 1528]"
200,"[116, 973, 1186, 1531, 2131]"
201,"[851, 1973, 3065, 3070, 3491, 3837, 3934]"
202,"[274, 528, 2087, 2368, 3487]"
203,"[341, 798, 863, 1328, 1530, 3759, 3980]"
204,"[656, 1236, 1735, 1750]"
205,"[80, 248, 774, 2000, 2315, 2321, 3219]"
206,"[222, 416, 1145, 1361, 1592, 1834, 2578, 3651]"
207,"[236, 545, 1015, 1630]"
208,"[546, 629, 706, 1199, 2021, 3421, 3623]"
209,"[521, 1407, 1826, 2467, 2481, 3039, 3601]"
210,"[152, 744, 901, 1183, 2387, 3106]"
211,"[293, 2347, 2744, 2851, 2989, 3402]"
212,"[209, 2610, 3524, 3600, 3664]"
213,"[518, 1469, 3142, 3231, 3317]"
214,"[117, 2341, 3938]"
215,"[1025, 1235, 1903, 1997]"
216,"[14, 125, 201, 420, 1067]"
217,"[1835, 3530, 3777]"
218,"[2786, 2964, 3197]"
219,"[143, 592, 1081, 1486, 3192]"
220,"[480, 1288, 1737, 2141, 2679, 3163, 3437, 3625]"
221,"[132, 133, 899, 2589, 2769, 2984]"
222,[2080]
223,"[142, 675, 946, 1184, 3297, 3550]"
224,"[238, 924, 933, 1488, 2259, 2705, 2774, 3000]"
225,"[3332, 3456]"
226,"[1284, 1436, 3271, 3997]"
227,"[133, 989, 1541]"
228,"[55, 1231, 1499, 1762, 2573, 3025, 3671]"
229,"[558, 1557, 1582, 3924]"
230,"[1003, 2030, 3326]"
231,[853]
232,"[172, 1190, 1276, 1617, 1999, 2809, 2861, 3653, 3882]"
233,"[205, 887, 1027]"
234,"[1738, 2852, 3159, 3878]"
235,"[236, 545, 1015, 1630, 2986]"
236,"[876, 1211, 1648, 2774, 3160, 3505, 3685]"
237,"[1820, 2615]"
238,"[1469, 3800]"
239,"[280, 539, 1227, 3012, 3060, 3211]"
240,"[259, 437, 756, 783, 1036, 2088, 2349, 2610, 3754]"
241,"[472, 482, 511, 2343, 2858]"
242,"[325, 1502, 2832, 3585]"
243,"[1269, 2502, 2584, 2647]"
244,"[219, 628, 3333, 3409, 3741]"
245,"[48, 1058, 1190, 1351, 1474, 3269, 3583, 3815, 3880]"
246,"[28, 2409, 3000]"
247,"[148, 2463, 2714, 3381, 3970]"
248,"[592, 903, 1501, 2054, 2136, 2223]"
249,[3306]
250,"[582, 1740, 2488, 3552, 3927]"
251,"[1438, 1713, 1903, 2085, 3025, 3616]"
252,"[266, 553, 643, 2022, 3313]"
253,"[518, 1407, 1675, 1903, 3051, 3119]"
254,"[697, 1042, 1234, 1315, 3287]"
255,"[1429, 1521, 1566, 3934]"
256,"[1127, 1500, 2025, 2246, 3421, 3828]"
257,"[682, 737, 1225, 2372, 3577]"
258,"[1632, 2506, 3492]"
259,"[592, 1023, 1793, 2001]"
260,"[1260, 2699, 3233, 3511, 3987]"
261,"[10, 150, 377, 497, 544, 894, 2194, 3186]"
262,"[1464, 1873, 1903, 3192]"
263,"[85, 699, 1217]"
264,"[234, 1582, 2508, 3070, 3110, 3812]"
265,"[669, 1327, 2978, 3925, 3948]"
266,"[1018, 1601, 2886]"
267,"[934, 3776]"
268,"[1993, 2005, 2324, 2535, 2858, 3051]"
269,"[45, 221, 851, 3671]"
270,"[67, 837, 1537, 2489, 3855]"
271,"[1928, 2910]"
272,"[662, 1787, 2176]"
273,"[1941, 2947, 3134, 3950]"
274,"[908, 1225, 2878, 3207, 3667]"
275,"[623, 934, 1504, 1508, 1602, 2406, 3179, 3758]"
276,"[410, 981, 1584, 2781]"
277,"[546, 575, 1666, 2726, 3938]"
278,"[507, 1374, 1874, 2763]"
279,"[59, 216, 874, 961, 3351, 3458]"
280,[3914]
281,"[740, 986, 3024]"
282,"[300, 325, 707, 799]"
283,"[233, 289, 2496, 2630, 2792]"
284,"[318, 1009, 1559, 2457, 2579, 3003]"
285,"[182, 1664, 1840, 2667, 3460, 3662]"
286,"[368, 431, 1133, 1332]"
287,"[1300, 1941, 2333, 3328, 3446]"
288,"[117, 2275, 2642, 3390, 3646]"
289,"[259, 360, 2593, 3268]"
290,"[176, 780, 2569, 2687, 2841, 3438]"
291,"[221, 1594, 1780, 1965, 2689, 3596]"
292,"[701, 1005, 1160, 2001, 2145]"
293,"[863, 954, 1205]"
294,"[69, 1717, 1750, 2781, 3450, 3628, 3910]"
295,"[959, 3035, 3254, 3496]"
296,"[517, 1026, 1349, 1986, 2171, 3683]"
297,"[735, 1898, 2947]"
298,"[1092, 1469, 2392, 2585]"
299,"[2168, 3342, 3797]"
300,"[183, 642, 1716, 2053, 2561, 3350]"
301,"[293, 859, 1114, 1988, 2964, 3489]"
302,"[1317, 1562, 2699, 3023, 3387, 3452]"
303,"[773, 2652, 3901]"
304,[63]
305,"[510, 852, 2051, 3869]"
306,"[48, 764, 1678, 1765, 2979, 3641, 3772]"
307,"[291, 874, 990, 992, 1382, 1710, 1810, 1932, 1988, 2453, 3935]"
308,"[707, 750, 1837, 2101]"
309,"[156, 336, 1369, 2580, 2956, 3053, 3101]"
310,"[93, 1247, 1332, 2290, 3550]"
311,"[108, 647, 843, 3692]"
312,"[1149, 2312, 3496, 3980]"
313,"[203, 604, 2079]"
314,"[318, 399, 709, 909, 1679, 2239, 3664]"
315,"[150, 1276, 2000, 2638]"
316,"[85, 3319, 3351]"
317,"[1530, 3477]"
318,"[95, 188, 3317]"
319,"[1003, 1161, 1461, 2706, 3927]"
320,"[132, 603, 3268]"
321,"[419, 778, 800, 1153]"
322,"[1323, 1510]"
323,"[47, 75, 441, 1627, 2247, 2333, 3012, 3835]"
324,"[466, 1017, 2339]"
325,"[1039, 1123, 1609, 2264, 2902, 3569, 3663]"
326,"[2102, 2474, 2929, 2973]"
327,[252]
328,"[992, 1197, 1882, 2131]"
329,"[2912, 3744]"
330,"[544, 1630, 2112, 2288]"
331,"[1765, 2076, 3044, 3198, 3810, 3878]"
332,"[272, 879, 1970, 2292, 2726]"
333,"[222, 1588, 3876]"
334,"[191, 277, 472, 1539, 3414]"
335,"[2440, 2638, 2924, 3375, 3929]"
336,"[359, 963, 2095, 2857, 3633]"
337,"[1681, 1944, 2740, 2924, 3267, 3351]"
338,"[148, 2786, 3039]"
339,"[614, 709, 790, 852, 1171, 2068, 2289]"
340,"[575, 1361, 1739, 2829, 3317, 3952]"
341,"[169, 2764, 3379]"
342,"[227, 1073, 1191, 1905, 1952, 2642, 3261, 3668]"
343,"[391, 1229, 3532, 3552]"
